Data number,Team1,Team2,Probability,Predict
358,76人,籃網,[ 0.53855949  0.46144051],0
358,巫師,公鹿,[ 0.30713631  0.69286369],1
358,熱火,快艇,[ 0.25472128  0.74527872],1
358,火箭,暴龍,[ 0.43257235  0.56742765],1
358,爵士,灰熊,[ 0.66908593  0.33091407],0
358,騎士,太陽,[ 0.64160304  0.35839696],0
358,勇士,國王,[ 0.62902609  0.37097391],0
358,活塞,拓荒者,[ 0.45992439  0.54007561],1
358,魔術,湖人,[ 0.5187121  0.4812879],0
308,76人,籃網,[ 0.44022146  0.55977854],1
308,巫師,公鹿,[ 0.21897365  0.78102635],1
308,熱火,快艇,[ 0.24470461  0.75529539],1
308,火箭,暴龍,[ 0.42257892  0.57742108],1
308,爵士,灰熊,[ 0.69428559  0.30571441],0
308,騎士,太陽,[ 0.61744556  0.38255444],0
308,勇士,國王,[ 0.61722509  0.38277491],0
308,活塞,拓荒者,[ 0.43863472  0.56136528],1
308,魔術,湖人,[ 0.48238391  0.51761609],1
258,76人,籃網,[ 0.52039511  0.47960489],0
258,巫師,公鹿,[ 0.18879815  0.81120185],1
258,熱火,快艇,[ 0.26017201  0.73982799],1
258,火箭,暴龍,[ 0.4006191  0.5993809],1
258,爵士,灰熊,[ 0.60075696  0.39924304],0
258,騎士,太陽,[ 0.61578323  0.38421677],0
258,勇士,國王,[ 0.65621364  0.34378636],0
258,活塞,拓荒者,[ 0.50389459  0.49610541],0
258,魔術,湖人,[ 0.55202737  0.44797263],0
208,76人,籃網,[ 0.48323075  0.51676925],1
208,巫師,公鹿,[ 0.11696577  0.88303423],1
208,熱火,快艇,[ 0.23065878  0.76934122],1
208,火箭,暴龍,[ 0.22376502  0.77623498],1
208,爵士,灰熊,[ 0.64962237  0.35037763],0
208,騎士,太陽,[ 0.55502535  0.44497465],0
208,勇士,國王,[ 0.50088684  0.49911316],0
208,活塞,拓荒者,[ 0.54462466  0.45537534],0
208,魔術,湖人,[ 0.56296366  0.43703634],0
158,76人,籃網,[ 0.32460357  0.67539643],1
158,巫師,公鹿,[ 0.10776432  0.89223568],1
158,熱火,快艇,[ 0.26715789  0.73284211],1
158,火箭,暴龍,[ 0.20941397  0.79058603],1
158,爵士,灰熊,[ 0.62393285  0.37606715],0
158,騎士,太陽,[ 0.564751  0.435249],0
158,勇士,國王,[ 0.54893278  0.45106722],0
158,活塞,拓荒者,[ 0.51963444  0.48036556],0
158,魔術,湖人,[ 0.54509727  0.45490273],0
108,76人,籃網,[ 0.37622471  0.62377529],1
108,巫師,公鹿,[ 0.105047  0.894953],1
108,熱火,快艇,[ 0.29726139  0.70273861],1
108,火箭,暴龍,[ 0.16316238  0.83683762],1
108,爵士,灰熊,[ 0.54931656  0.45068344],0
108,騎士,太陽,[ 0.55997848  0.44002152],0
108,勇士,國王,[ 0.34339329  0.65660671],1
108,活塞,拓荒者,[ 0.53374684  0.46625316],0
108,魔術,湖人,[ 0.58829116  0.41170884],0
